"","Wavelength..nm.","Intensity","X","Y"
"1984",539.414182939363,3593.4664246824,539.414182939363,3593.4664246824
"1981",539.67112024666,3566.24319419238,539.67112024666,3566.24319419238
"1980",539.928057553957,3557.16878402904,539.928057553957,3557.16878402904
"1978",540.184994861254,3539.01996370236,540.184994861254,3539.01996370236
"1976",540.441932168551,3520.87114337568,540.441932168551,3520.87114337568
"1975",540.698869475848,3511.79673321234,540.698869475848,3511.79673321234
"1973",540.955806783145,3493.64791288566,540.955806783145,3493.64791288566
"1972",541.212744090442,3484.57350272232,541.212744090442,3484.57350272232
"1971",541.469681397739,3475.49909255898,541.469681397739,3475.49909255898
"1969",541.726618705036,3457.35027223231,541.726618705036,3457.35027223231
"1968",541.983556012333,3448.27586206897,541.983556012333,3448.27586206897
"1967",542.24049331963,3439.20145190563,542.24049331963,3439.20145190563
"1965",542.497430626927,3421.05263157895,542.497430626927,3421.05263157895
"1964",542.754367934224,3411.97822141561,542.754367934224,3411.97822141561
"1962",543.011305241521,3393.82940108893,543.011305241521,3393.82940108893
"1960",543.268242548818,3375.68058076225,543.268242548818,3375.68058076225
"1959",543.525179856115,3366.60617059891,543.525179856115,3366.60617059891
"1957",543.782117163412,3348.45735027223,543.782117163412,3348.45735027223
"1956",544.039054470709,3339.38294010889,544.039054470709,3339.38294010889
"1955",544.295991778006,3330.30852994555,544.295991778006,3330.30852994555
"1954",544.552929085303,3321.23411978221,544.552929085303,3321.23411978221
"1953",544.8098663926,3312.15970961887,544.8098663926,3312.15970961887
"1952",545.066803699897,3303.08529945554,545.066803699897,3303.08529945554
"1950",545.323741007194,3284.93647912886,545.323741007194,3284.93647912886
"1949",545.580678314491,3275.86206896552,545.580678314491,3275.86206896552
"1948",545.837615621788,3266.78765880218,545.837615621788,3266.78765880218
"1946",546.094552929085,3248.6388384755,546.094552929085,3248.6388384755
"1945",546.351490236382,3239.56442831216,546.351490236382,3239.56442831216
"1944",546.608427543679,3230.49001814882,546.608427543679,3230.49001814882
